,Shares,Cost(Euro/share),Profit(% post 2 years)
26820,Share-PQBMMg,456.2,16
26821,Share-FJvFH3,997.3,4
26822,Share-cUZpdJ,757.5,4
26823,Share-UrZRdB,701.8,9
26824,Share-cIM35v,455.7,14
26825,Share-SyEESX,546.0,18
26826,Share-0q1lW9,654.6,11
26827,Share-OeipPc,127.3,15
26828,Share-4W4XOA,607.6,15
26829,Share-LUnHWM,928.1,10
26830,Share-Blkoxt,118.8,10
26831,Share-pTnTzT,560.5,19
26832,Share-lygg8r,896.6,3
26833,Share-hexgeG,41.6,15
26834,Share-eVDCCF,717.7,6
26835,Share-hclnYn,403.2,19
26836,Share-kZUlmh,754.2,6
26837,Share-gz89IA,943.7,11
26838,Share-KKEvqQ,213.1,9
26839,Share-j0BUMK,235.3,16
26840,Share-02f1Vp,363.7,8
26841,Share-cS45Nz,546.2,10
26842,Share-5xKQiP,83.5,18
26843,Share-KwTT3Q,704.0,1
26844,Share-odCnfz,618.3,12
26845,Share-ZvTAuW,666.1,7
26846,Share-KRSKgW,417.7,3
26847,Share-nvy8pZ,350.4,15
26848,Share-O0kWI5,62.0,5
26849,Share-Oa9ZuV,721.3,5
26850,Share-VvChid,564.7,16
26851,Share-36Dr57,356.6,16
26852,Share-gFIegt,864.4,4
26853,Share-qu8F9s,370.4,2
26854,Share-6qzFy8,456.1,18
26855,Share-73HRHB,509.8,11
26856,Share-ULXh9d,795.6,17
26857,Share-2Aebaa,217.5,14
26858,Share-oteUMG,305.6,15
26859,Share-uLdDDa,619.5,2
26860,Share-LYCKEe,721.8,10
26861,Share-wWAdHz,828.5,18
26862,Share-WsMigx,26.7,1
26863,Share-mxBI7x,796.3,17
26864,Share-RulU9q,165.1,17
26865,Share-9aaG5q,383.5,7
26866,Share-toOxhh,242.0,12
26867,Share-grgIwE,935.3,11
26868,Share-K4I8mg,589.5,3
26869,Share-lWeSgJ,934.7,16
26870,Share-nmSSgk,317.6,9
26871,Share-g8y68q,644.6,14
26872,Share-d5mJfO,806.6,6
26873,Share-p7CVfX,803.3,5
26874,Share-R6i3Nk,469.0,11
26875,Share-ccJMnm,994.0,14
26876,Share-juaNhm,44.2,2
26877,Share-IfNX9B,427.4,2
26878,Share-9zn5aF,976.6,11
26879,Share-OssGRk,153.6,16
26880,Share-xIvzPR,312.2,10
26881,Share-k57stA,215.8,3
26882,Share-vrZ8Wf,289.8,6
26883,Share-fAaxXU,577.2,12
26884,Share-NFK78h,211.0,11
26885,Share-YkUuZI,696.6,10
26886,Share-KC7cvR,503.7,15
26887,Share-58oOoy,667.8,17
26888,Share-qc3Pml,548.4,7
26889,Share-58OKg0,652.0,16
26890,Share-9Z7CKI,308.0,9
26891,Share-7uOLEq,963.1,8
26892,Share-5pDsyU,223.7,14
26893,Share-iQ8t0C,733.7,19
26894,Share-hQEUbF,499.5,3
26895,Share-eASi4r,159.3,9
26896,Share-aPFpPu,89.5,13
26897,Share-5AWdr8,959.2,18
26898,Share-myRy66,450.9,2
26899,Share-eapaFi,470.0,16
26900,Share-JshUzh,428.5,16
26901,Share-kcb9qD,391.7,3
26902,Share-7OsgMz,837.2,9
26903,Share-sw2on7,802.2,13
26904,Share-l1gwTo,853.5,1
26905,Share-eA6Iyn,728.6,7
26906,Share-2FF4Yj,131.0,17
26907,Share-z5tYFR,574.8,5
26908,Share-Iae6uk,630.3,1
26909,Share-UBqKIX,44.6,19
26910,Share-pVvAp3,781.7,18
26911,Share-1czQBz,387.5,8
26912,Share-sW0Rz3,537.7,19
26913,Share-TADa9Q,522.8,2
26914,Share-ujW0X8,262.6,1
26915,Share-OjGDQE,314.7,8
26916,Share-rB29QQ,949.5,5
26917,Share-R5BBx1,229.1,7
26918,Share-m8guT2,557.8,12
26919,Share-kxc09k,295.6,16
26920,Share-M66gD1,397.4,15
26921,Share-d7qHkQ,513.6,1
26922,Share-Yd4kd5,676.9,17
26923,Share-FVqOKT,689.8,12
26924,Share-AnGvmI,18.0,9
26925,Share-zgkqwF,362.9,11
26926,Share-2ECkvq,422.3,8
26927,Share-rgBeSJ,708.0,15
26928,Share-6vcA7h,206.3,9
26929,Share-Sxp6YI,264.6,10
26930,Share-rvgrDQ,946.6,13
26931,Share-FZdslC,436.8,3
26932,Share-bTPKQi,288.9,12
26933,Share-tOhd8s,493.6,15
26934,Share-P5gHk7,211.0,4
26935,Share-pMl7RT,231.1,17
26936,Share-kcern8,798.5,11
26937,Share-WsSJtz,214.6,18
26938,Share-EfK3F2,913.8,1
26939,Share-W9wqTz,711.7,6
26940,Share-itzybL,649.4,7
26941,Share-HpJwtD,732.2,17
26942,Share-xjztZO,891.4,3
26943,Share-SzH9Vd,172.5,11
26944,Share-0Smyht,581.3,19
26945,Share-C6VAsp,126.1,16
26946,Share-1dISSj,45.4,4
26947,Share-l2cUPb,48.9,15
26948,Share-n9wXz9,175.3,6
26949,Share-tTr6tg,759.9,6
26950,Share-8Y6yDo,951.9,17
26951,Share-TPJxyC,170.4,13
26952,Share-YtVlSw,879.2,4
26953,Share-7Nr9Xz,397.7,6
26954,Share-q627yn,273.9,7
26955,Share-vIVPtK,867.1,4
26956,Share-U8e46W,58.4,9
26957,Share-oWB3Yn,640.2,9
26958,Share-OPX5LL,430.0,9
26959,Share-HPScxv,315.8,2
26960,Share-vN9LZb,396.1,5
26961,Share-gza4y9,113.8,15
26962,Share-2SgHHa,876.5,19
26963,Share-rkOAA8,692.5,7
26964,Share-ECas5x,566.8,6
26965,Share-XfbT3q,432.7,15
26966,Share-7PqsjD,146.0,3
26967,Share-wJFmK7,13.3,3
26968,Share-vNLJLx,437.0,7
26969,Share-uEe4Ru,856.8,19
26970,Share-o57alM,668.4,2
26971,Share-Vo6WMq,352.5,10
26972,Share-6ir4Eb,979.6,3
26973,Share-sW9XkV,823.2,4
26974,Share-medkjc,817.1,16
26975,Share-u8vfPb,543.1,18
26976,Share-3COEEf,854.3,11
26977,Share-6J9rYT,315.3,4
26978,Share-7OjAcr,915.8,17
26979,Share-OeXLk5,917.4,19
26980,Share-MDeQel,852.7,15
26981,Share-FmK6Jx,81.0,6
26982,Share-KBitUT,970.7,17
26983,Share-aZbIwf,694.2,3
26984,Share-Sq7Ir0,960.7,15
26985,Share-Sp7wJp,572.1,9
26986,Share-ZjDYwy,84.0,6
26987,Share-M4QH8C,187.9,9
26988,Share-havPMH,250.3,10
26989,Share-acihSx,344.3,1
26990,Share-umpRL3,291.2,12
26991,Share-mYEr8X,71.0,6
26992,Share-dWVdRV,37.6,16
26993,Share-hFjH51,191.8,2
26994,Share-qlHfh1,171.4,17
26995,Share-eayIrH,381.0,14
26996,Share-BaskGi,372.6,7
26997,Share-GWPuR7,378.4,6
26998,Share-olKEHq,954.1,6
26999,Share-ToNIbY,477.0,13
27000,Share-at0bBC,196.2,3
27001,Share-a7UqyP,775.4,17
27002,Share-zUHPW0,173.9,19
27003,Share-nd7Cc0,889.4,1
27004,Share-RB0xnF,331.9,6
27005,Share-yAR8lK,52.8,8
27006,Share-Q8er32,28.5,4
27007,Share-S9ctt4,985.1,18
27008,Share-eSPcSw,981.5,15
27009,Share-4F5eMw,99.0,4
27010,Share-RnzS5P,273.1,9
27011,Share-FJj99w,985.8,18
27012,Share-NAHXLP,920.7,7
27013,Share-unowRA,658.0,15
27014,Share-WrgCZp,931.2,6
27015,Share-AB0h8q,919.1,4
27016,Share-TexwJs,296.1,15
27017,Share-WmE92J,612.1,10
27018,Share-y8TY48,446.2,12
27019,Share-WG1ON6,769.4,14
27020,Share-LW1DuK,337.0,16
27021,Share-qsKAqw,352.3,10
27022,Share-WdYlM3,813.9,4
27023,Share-XVy4wL,362.0,9
27024,Share-O0xW4r,815.4,15
27025,Share-RmM7TG,700.2,3
27026,Share-kGkDp9,568.7,8
27027,Share-xcU3py,126.7,13
27028,Share-zqMXZW,784.7,5
27029,Share-MOZgeq,803.0,9
27030,Share-gQ1oqR,7.0,4
27031,Share-M1xZOW,203.3,19
27032,Share-OqU6oz,114.9,1
27033,Share-sZnYsf,654.3,17
27034,Share-osSaeE,888.4,1
27035,Share-phldEw,539.0,17
27036,Share-HbsMXg,25.9,9
27037,Share-gbSP1P,639.4,6
27038,Share-lDjGjF,629.4,8
27039,Share-4y7FZs,381.3,14
27040,Share-IhGFX2,5.0,8
27041,Share-f4Qp25,810.5,18
27042,Share-RwY2TF,882.3,18
27043,Share-nUELZt,75.8,18
27044,Share-amncEH,326.0,13
27045,Share-UZyPnI,976.3,11
27046,Share-In0krI,929.2,13
27047,Share-QeY4Hj,257.4,5
27048,Share-ekiZDh,839.7,13
27049,Share-nuC1lz,419.0,15
27050,Share-ONdQSx,241.2,11
27051,Share-wfw1EO,106.8,15
27052,Share-9Lr4gD,398.0,5
27053,Share-eT2a5f,664.7,11
27054,Share-QArA6f,136.1,6
27055,Share-4QkVX4,857.9,16
27056,Share-1cxIJt,91.9,18
27057,Share-MXe6Ay,641.0,5
27058,Share-083eCO,643.5,18
27059,Share-BPmxp7,617.2,1
27060,Share-xiKau5,954.4,2
27061,Share-ehsmi3,662.1,15
27062,Share-Bt6oGM,234.4,1
27063,Share-HA1vss,44.3,2
27064,Share-fhzRNP,816.2,9
27065,Share-K1q7QZ,482.5,4
27066,Share-NVYtuj,992.4,7
27067,Share-vWLJo1,531.5,6
27068,Share-BVgNMd,117.9,4
27069,Share-JndupU,877.6,2
27070,Share-66BbJU,976.5,5
27071,Share-7UShjY,570.7,6
27072,Share-ovT1Md,802.0,9
27073,Share-yfbRi5,158.4,15
27074,Share-0N10i9,320.6,11
27075,Share-BNQzMs,214.0,16
27076,Share-XWGR1i,427.0,12
27077,Share-H8BJEE,287.4,16
27078,Share-mP8h1o,390.9,1
27079,Share-bjrCsO,393.4,16
27080,Share-6s9yDA,852.0,2
27081,Share-TvfNje,207.3,4
27082,Share-bPGNr3,128.0,12
27083,Share-XkDcUL,678.5,4
27084,Share-BDNzIr,666.0,1
27085,Share-k8bkHI,735.5,4
27086,Share-ix3puY,255.8,1
27087,Share-VzdtiB,597.1,15
27088,Share-5PKpox,51.2,13
27089,Share-aRhX4F,215.2,19
27090,Share-aW6ppr,857.7,6
27091,Share-RChgYl,917.2,14
27092,Share-ZPFK3P,16.2,18
27093,Share-wJ8TPn,784.3,12
27094,Share-x9o3aJ,389.7,9
27095,Share-stNld5,65.1,2
27096,Share-3SIC0Y,122.7,12
27097,Share-XYLAHy,316.7,14
27098,Share-ADpuYZ,352.4,14
27099,Share-ZRoZqz,843.0,10
27100,Share-FlYk01,926.8,5
27101,Share-VJ6eDk,10.5,6
27102,Share-AllKdz,746.9,7
27103,Share-tMaMfD,382.6,10
27104,Share-jKv4Oq,91.8,19
27105,Share-FhAKMa,605.3,19
27106,Share-g9GcGA,505.1,2
27107,Share-0OJKGD,890.8,1
27108,Share-aeXrFy,144.6,15
27109,Share-rXuxrL,998.3,11
27110,Share-vYXDCx,827.6,2
27111,Share-dF5TnI,185.1,4
27112,Share-nAriWq,324.5,2
27113,Share-KUK6SG,416.4,15
27114,Share-33f2co,286.3,5
27115,Share-nastTA,420.8,14
27116,Share-72kyxf,517.0,2
27117,Share-j3g4BW,221.8,15
27118,Share-L1SM4M,13.6,3
27119,Share-Ysv63h,3.2,11
27120,Share-Lfk1YM,374.1,19
27121,Share-j4j627,132.8,13
27122,Share-Of3dWW,726.1,1
27123,Share-vOed1Q,599.2,5
27124,Share-20Dm97,603.8,9
27125,Share-Mpx6Gg,664.9,1
27126,Share-KuHKd5,5.9,3
27127,Share-TwqFl1,35.9,6
27128,Share-l4jT2i,67.7,16
27129,Share-g1jbxb,831.1,10
27130,Share-lnWmER,740.8,3
27131,Share-1yTYOH,483.9,11
27132,Share-LIJ2Dv,425.5,19
27133,Share-SFKJej,868.4,8
27134,Share-0nux5O,274.4,15
27135,Share-FsjogL,545.1,6
27136,Share-EZwacb,437.2,9
27137,Share-Y2idL2,861.2,8
27138,Share-NeuPlr,468.0,2
27139,Share-YBmsJ5,678.2,11
27140,Share-D5N828,563.9,11
27141,Share-yCddqE,333.7,11
27142,Share-Kdlveo,905.0,9
27143,Share-t3LvKf,17.0,14
27144,Share-iEAcbK,590.1,5
27145,Share-6xEAI8,542.4,13
27146,Share-S0YlnJ,94.1,16
27147,Share-N7NWAa,576.4,18
27148,Share-jZrTdf,62.1,15
27149,Share-IwPtTp,864.2,16
27150,Share-oIDE4J,302.2,1
27151,Share-oVGL7H,589.6,3
27152,Share-qXJQK8,688.1,15
27153,Share-4aw0tF,624.4,10
27154,Share-wtxWHI,504.1,17
27155,Share-TkKkek,872.9,15
27156,Share-LFRBUt,721.5,1
27157,Share-9WF71Q,134.2,12
27158,Share-V2XTAW,21.3,9
27159,Share-ERGgIz,140.5,12
27160,Share-pVq0ip,722.4,16
27161,Share-B4eBV8,404.1,1
27162,Share-co0sNs,377.5,9
27163,Share-3PBvOH,400.3,19
27164,Share-ggCEfx,213.8,10
27165,Share-QDio9g,973.4,17
27166,Share-pUNS0r,322.8,18
27167,Share-SZcgtl,684.3,10
27168,Share-hrDgma,270.7,16
27169,Share-n54YmZ,913.6,15
27170,Share-ObmAkC,987.7,15
27171,Share-sfTiL9,384.9,8
27172,Share-cnVz6R,935.3,17
27173,Share-G7CWwF,441.7,14
27174,Share-fKU6lR,489.4,8
27175,Share-o3Sduh,265.9,2
27176,Share-rYXBh3,765.1,10
27177,Share-m3PVrR,52.0,3
27178,Share-pF4zjM,419.4,15
27179,Share-AeKVUH,152.5,5
27180,Share-kXx49y,738.0,17
27181,Share-PqUbsK,556.6,19
27182,Share-lSfDkO,330.0,9
27183,Share-gYWo76,732.1,2
27184,Share-trbhGZ,196.6,5
27185,Share-l6hOV5,927.7,11
27186,Share-c3yvah,601.5,4
27187,Share-di9ZYI,204.4,9
27188,Share-GSokDf,197.1,12
27189,Share-MKJdYc,425.9,12
27190,Share-DInCoG,952.8,7
27191,Share-shLeOP,390.0,17
27192,Share-FyTgjw,606.5,14
27193,Share-Xy4J0F,851.4,11
27194,Share-VC1H8i,738.6,4
27195,Share-Q2mO3F,528.2,11
27196,Share-clfJTv,836.3,5
27197,Share-1qGbD8,720.8,3
27198,Share-dQPnmD,644.9,19
27199,Share-TSZNJ9,39.4,7
27200,Share-um9dLr,713.9,9
27201,Share-Ag73iy,18.8,10
27202,Share-peiHnx,34.0,6
27203,Share-Wk0cYx,242.8,11
27204,Share-2S6vrT,797.7,14
27205,Share-jDvQOX,108.6,19
27206,Share-1QTZUs,637.2,13
27207,Share-rBHPLj,619.4,13
27208,Share-e2m2Za,748.8,12
27209,Share-bjolY2,206.8,11
27210,Share-H7a1c0,665.7,12
27211,Share-xfb3rj,938.1,18
27212,Share-ZgUkqn,147.7,12
27213,Share-iR2NFs,194.8,10
27214,Share-h7499x,263.7,1
27215,Share-mUXp97,333.6,14
27216,Share-J6AbVp,421.1,13
27217,Share-lMzTRM,163.2,8
27218,Share-knvnAe,275.1,8
27219,Share-mIqiKP,371.4,12
27220,Share-BEwO8G,128.5,6
27221,Share-FxEY67,460.1,14
27222,Share-XdQv8O,612.7,7
27223,Share-V0gwIB,447.3,14
27224,Share-FtiKR5,76.3,16
27225,Share-91Fjgw,401.9,4
27226,Share-ej6Kkl,685.3,19
27227,Share-phKCPc,365.2,18
27228,Share-Lk5ouY,399.2,9
27229,Share-vUCL7U,308.2,9
27230,Share-Y19NFH,813.4,14
27231,Share-mZaszI,543.2,19
27232,Share-b7nAXU,387.1,13
27233,Share-CiW1O5,264.9,18
27234,Share-JPNdDa,968.2,1
27235,Share-wztVK0,550.4,1
27236,Share-cdoBCd,942.9,13
27237,Share-thQNop,146.9,10
27238,Share-MfpXgR,136.9,9
27239,Share-mKKs3Q,192.6,19
27240,Share-KSKuXj,984.3,8
27241,Share-2MsHky,514.5,5
27242,Share-F2brZ6,993.4,12
27243,Share-h78fyE,308.4,8
27244,Share-CuGVcR,29.3,10
27245,Share-DdfUwJ,422.7,18
27246,Share-JKToe5,857.1,1
27247,Share-1B5WWl,226.5,10
27248,Share-ymJPlr,175.3,2
27249,Share-q2vTxA,297.6,17
27250,Share-Mkv940,606.1,19
27251,Share-cvaXF3,941.6,5
27252,Share-nj5gpT,762.6,12
27253,Share-Qk4tIl,364.4,3
27254,Share-hmNuh6,664.2,4
27255,Share-ShukMF,896.6,19
27256,Share-qrNnpv,654.9,9
27257,Share-IY2SmO,911.0,17
27258,Share-GleAma,645.4,10
27259,Share-7grTEC,63.0,6
27260,Share-uXwWpQ,513.2,17
27261,Share-u7Indk,186.6,12
27262,Share-jsWN2Q,867.5,19
27263,Share-wxIUWv,207.8,3
27264,Share-J2uNCG,539.2,10
27265,Share-7GYQtF,874.3,13
27266,Share-dqaWKm,932.0,2
27267,Share-9jw49c,568.7,13
27268,Share-DPCNmD,96.4,12
27269,Share-LnwPJM,634.7,3
27270,Share-Od2R4X,384.1,8
27271,Share-AxgOPK,970.5,14
27272,Share-TMsJqB,210.3,4
27273,Share-CrVML0,777.8,11
27274,Share-CDlAge,477.7,17
27275,Share-7hXBAg,273.5,4
27276,Share-cB2oca,846.6,19
27277,Share-0lkKuX,374.4,13
27278,Share-2uwArq,947.9,15
27279,Share-fYhxz3,433.8,8
27280,Share-yHTnav,866.0,18
27281,Share-rOowZE,634.2,14
27282,Share-qQ9MKj,942.4,6
27283,Share-aLCjop,339.6,1
27284,Share-9ORnWB,730.9,9
27285,Share-AtLniw,237.5,15
27286,Share-OOUfvj,616.4,8
27287,Share-8OPWuD,283.1,14
27288,Share-iCrINh,392.2,15
27289,Share-7dy23B,444.7,4
27290,Share-mFwT5q,40.4,11
27291,Share-M1A2Ap,141.6,4
27292,Share-MBF8tj,225.5,9
27293,Share-N0A8vo,62.8,5
27294,Share-DdevZK,214.2,12
27295,Share-VFU02u,347.3,1
27296,Share-QQkgwo,265.3,11
27297,Share-TxCPPI,223.0,19
27298,Share-5RbBM4,330.0,1
27299,Share-ABgHpt,445.8,13
27300,Share-mVMWCH,906.1,11
27301,Share-veMuDT,542.0,11
27302,Share-gnNlR0,602.1,19
27303,Share-zAbE9t,123.9,14
27304,Share-jGuhFT,249.7,7
27305,Share-AfWpb4,826.1,5
27306,Share-0H3uTe,729.8,16
27307,Share-ce8n6g,877.9,18
27308,Share-dlSUSb,213.2,14
27309,Share-RAsUyC,940.7,12
27310,Share-boFJPx,118.0,1
27311,Share-alIpSF,917.0,7
27312,Share-io76pa,902.0,19
27313,Share-q2uoxY,508.7,17
27314,Share-PP4H3u,882.4,4
27315,Share-LL2VAa,139.1,18
27316,Share-uVXlcL,697.7,11
27317,Share-RjsqXj,610.8,13
27318,Share-atJQs4,122.7,9
27319,Share-0qnwUg,342.0,18
27320,Share-GFqNMu,273.4,16
27321,Share-BImniP,78.3,9
27322,Share-EChn3l,531.2,13
27323,Share-wt7uTm,461.0,9
27324,Share-tCybNr,431.0,1
27325,Share-FtU7nP,552.1,17
27326,Share-KXurYb,626.5,12
27327,Share-lx9uXD,506.5,19
27328,Share-Cru0Nm,907.9,14
27329,Share-ktYJhH,714.3,12
27330,Share-q3rjw0,144.9,19
27331,Share-AogrIE,12.4,17
27332,Share-mbbdIK,722.0,18
27333,Share-6mHyuK,614.0,1
27334,Share-QjUstw,858.0,13
27335,Share-EnHpvf,311.1,16
27336,Share-zM5npm,622.6,10
27337,Share-vcopWK,470.9,7
27338,Share-fAFXwo,349.1,10
27339,Share-m2fxP1,880.1,13
27340,Share-NLk0Ze,512.5,8
27341,Share-dF9GdJ,276.3,18
27342,Share-GqXRZk,952.9,10
27343,Share-vHt6qJ,371.1,18
27344,Share-QQaWnT,873.1,4
27345,Share-1FJtYk,794.1,2
27346,Share-08ChrY,814.2,10
27347,Share-XIxlYy,810.3,4
27348,Share-PwC3tZ,994.7,1
27349,Share-WH29tb,110.3,6
27350,Share-9fcSpC,990.0,12
27351,Share-Nl7ryY,938.1,4
27352,Share-538Vn8,22.5,11
27353,Share-xIJu9Q,804.0,9
27354,Share-zUkpTv,408.7,14
27355,Share-VseOiG,933.5,10
27356,Share-Bbe4TM,920.5,1
27357,Share-FuMX2O,524.6,7
27358,Share-BdYXRF,904.6,7
27359,Share-oOwxZ8,641.0,18
27360,Share-Y5cV4c,964.7,16
27361,Share-5Jymyc,326.8,10
27362,Share-EA4lDM,307.5,6
27363,Share-tY0lqd,512.9,8
27364,Share-KtYd5J,543.6,14
27365,Share-NqbSli,569.0,8
27366,Share-sWt4v8,205.9,15
27367,Share-pJ3qUa,479.0,5
27368,Share-OJM4Vf,471.6,3
27369,Share-g35xiT,850.5,2
27370,Share-jVHIEB,135.5,1
27371,Share-hREhz5,487.7,2
27372,Share-QlX51W,372.2,10
27373,Share-jfwBg5,758.7,3
27374,Share-26dG7Q,649.6,8
27375,Share-LFcDic,949.0,1
27376,Share-NBt3gs,337.1,4
27377,Share-0wOnH0,133.7,7
27378,Share-fQDqg2,755.6,2
27379,Share-2mOFNI,524.8,2
27380,Share-NPzRE6,879.3,18
27381,Share-Yny5d7,537.3,14
27382,Share-SaToEw,93.4,10
27383,Share-6IkGHy,3.1,11
27384,Share-WVNb7H,316.9,9
27385,Share-wJ3y6P,568.4,13
27386,Share-3FNkiV,233.5,11
27387,Share-kqNFmr,556.8,3
27388,Share-4MOiPo,683.5,4
27389,Share-IwIaDn,425.8,8
27390,Share-u8et9J,983.9,6
27391,Share-vuXFAH,44.7,5
27392,Share-UFrWOZ,920.6,16
27393,Share-nReCyn,378.8,19
27394,Share-dmBUgJ,145.3,17
27395,Share-c4Zf09,127.6,18
27396,Share-MP8bIh,472.6,1
27397,Share-jXwsvX,995.4,16
27398,Share-gC4hxk,691.1,11
27399,Share-WIEsRc,377.0,19
27400,Share-bg6sPy,934.4,6
27401,Share-fboJyN,613.2,10
27402,Share-k6vcK9,803.2,13
27403,Share-GiBFDE,112.0,9
27404,Share-vVwUPS,142.3,5
27405,Share-kgj4Z1,67.1,9
27406,Share-qottRP,261.7,10
27407,Share-mUv22q,794.2,19
27408,Share-4pahDT,125.8,15
27409,Share-FKgfkP,577.9,3
27410,Share-i1WhEt,568.3,17
27411,Share-LWEcNx,817.7,16
27412,Share-WfBE9k,827.2,12
27413,Share-nsPfqQ,503.1,16
27414,Share-U8heAU,684.1,2
27415,Share-b5L2LE,94.2,6
27416,Share-oMKCvS,111.6,13
27417,Share-NRXaq7,911.1,1
27418,Share-tYOFd5,877.2,16
27419,Share-eZ9sp2,893.2,12
27420,Share-f6tASE,89.2,19
27421,Share-gnmCGh,100.6,4
27422,Share-asTjA6,92.4,15
27423,Share-VLwfkM,323.7,1
27424,Share-agU8wn,772.8,5
27425,Share-GLY3U6,943.1,10
27426,Share-1R9Dpu,268.2,8
27427,Share-fCDeYr,166.7,13
27428,Share-XCN9sK,806.0,8
27429,Share-4onAKW,771.3,10
27430,Share-AvvPea,504.5,2
27431,Share-kkji9t,874.6,15
27432,Share-K81bIE,37.6,4
27433,Share-SM9E9f,780.5,6
27434,Share-CzmDta,332.1,19
27435,Share-naCPVm,367.2,9
27436,Share-HS6Oq2,935.7,3
27437,Share-hpDR3T,805.4,1
27438,Share-V2FP30,352.3,18
27439,Share-9sjtX6,765.8,15
27440,Share-v2XQPN,167.1,1
27441,Share-IAblMB,837.4,13
27442,Share-r1ZsVP,458.9,15
27443,Share-GpbaO5,905.6,7
27444,Share-e4NDak,537.3,16
27445,Share-Iilf5t,27.1,6
27446,Share-XUwDIn,602.7,7
27447,Share-YtpwbB,329.1,7
27448,Share-5rJtTz,23.3,4
27449,Share-ZVRLeH,480.0,18
27450,Share-3EhjW9,189.4,13
27451,Share-UFrWGv,310.6,17
27452,Share-U08FKn,377.5,8
27453,Share-cICmYJ,788.0,19
27454,Share-CRyyD9,469.3,9
27455,Share-6eOQ4D,589.0,15
27456,Share-KXcVKH,969.7,12
27457,Share-kBN7HJ,322.3,11
27458,Share-OTiECs,270.4,4
27459,Share-vXUqj7,762.2,4
27460,Share-kydPgS,0.8,3
27461,Share-GdPOZJ,412.3,14
27462,Share-V7fLc7,877.7,2
27463,Share-qcDgko,601.7,9
27464,Share-v6KUK6,151.9,19
27465,Share-YRKn2k,821.7,14
27466,Share-EXuFEd,404.3,17
27467,Share-5pU1kD,773.0,8
27468,Share-erE3kj,947.5,3
27469,Share-fZnQ9j,888.5,3
27470,Share-eBJUJN,969.6,13
27471,Share-nBBrYM,557.8,13
27472,Share-Hs2vwA,431.7,11
27473,Share-d6fgfJ,745.8,9
27474,Share-SRidPz,60.6,11
27475,Share-4CsknV,392.6,11
27476,Share-0vYmOi,478.9,7
27477,Share-jp2pfy,708.0,18
27478,Share-iZGs7m,177.1,16
27479,Share-P9ZQOU,237.7,12
27480,Share-b2mX6h,799.4,1
27481,Share-J7fiR7,302.9,4
27482,Share-1pCtKS,456.4,18
27483,Share-vC49wG,187.0,18
27484,Share-XF4IVd,19.3,3
27485,Share-TICQIn,677.3,15
27486,Share-bziWCp,738.1,3
27487,Share-3DkjhT,957.8,7
27488,Share-xlpH1j,119.0,15
27489,Share-xRyXsf,804.4,2
27490,Share-zMuOhr,518.2,3
27491,Share-180YfZ,223.6,16
27492,Share-HqtJwU,722.7,2
27493,Share-8hBxif,698.1,4
27494,Share-FilWGL,129.1,9
27495,Share-DC1Kuk,734.2,9
27496,Share-JcszCV,999.7,2
27497,Share-wnQMK5,409.0,18
27498,Share-Rkkax1,175.4,17
27499,Share-4R5UHD,722.6,13
27500,Share-q1llLZ,185.5,19
27501,Share-9lMSXA,920.6,15
27502,Share-gglLyk,545.7,6
27503,Share-hv2kHV,437.7,3
27504,Share-ZPEdUv,887.6,8
27505,Share-awaAWa,401.1,15
27506,Share-pxg1Zj,317.9,14
27507,Share-1YF1EZ,975.9,16
27508,Share-5E0Kzm,384.1,17
27509,Share-E5ozu5,565.1,9
27510,Share-41WIMG,264.8,1
27511,Share-pFgs7x,828.3,4
27512,Share-opsHJb,754.5,8
27513,Share-naZOiE,776.3,17
27514,Share-PPZTXr,832.5,16
27515,Share-FP3nJh,204.4,12
27516,Share-iwGrPl,426.9,4
27517,Share-PORjRy,528.6,15
27518,Share-5VSmUw,959.7,11
27519,Share-YgLNkR,724.0,1
27520,Share-i86BVR,309.7,13
27521,Share-4rXc2T,177.1,19
27522,Share-C7mDeT,108.4,15
27523,Share-jhalWM,880.9,10
27524,Share-SB7ByC,336.4,2
27525,Share-hQJtrB,634.2,17
27526,Share-lk5EXA,703.1,15
27527,Share-2Iwg4T,341.1,19
27528,Share-mwrtZ7,51.1,1
27529,Share-PmUrKK,81.7,10
27530,Share-MMd0sB,176.9,11
27531,Share-sucx0Y,106.7,13
27532,Share-4Waliv,443.7,16
27533,Share-BMdgJt,856.9,15
27534,Share-ttKE99,505.4,17
27535,Share-T3TuM0,551.0,16
27536,Share-MGNBWd,626.7,2
27537,Share-pPzKt4,581.3,18
27538,Share-p6CbxO,153.9,11
27539,Share-vAiYZp,402.5,7
27540,Share-cylnwf,212.4,3
27541,Share-cvOJg6,467.1,11
27542,Share-Sj2kNS,469.9,16
27543,Share-yqdv25,156.5,17
27544,Share-0X1dBC,716.0,7
27545,Share-2hqj2j,531.2,10
27546,Share-TvpHBO,689.7,15
27547,Share-xDUiR9,916.9,6
27548,Share-euWWEE,179.4,8
27549,Share-31DkW7,683.4,19
27550,Share-tmyzDc,255.2,2
27551,Share-ENLjtd,529.0,2
27552,Share-S1mwHK,458.3,3
27553,Share-iOFlZk,642.8,13
27554,Share-YKNdd7,264.0,10
27555,Share-VNMC2S,958.3,6
27556,Share-0c1xCI,292.3,16
27557,Share-AkOvEJ,200.0,11
27558,Share-sbPbbw,550.5,13
27559,Share-Q1cxBg,975.6,19
27560,Share-ygTaga,547.1,11
27561,Share-OfOvyA,186.4,17
